Review,Target
"I recently took a trip from Albany to Orlando and thoroughly enjoyed it. Although the boarding process is a little strange as long as you check in on time there is a very good chance that you will find good seats even if you are traveling with family members. I got B27 because I checked in a little late but I was still able to get a window seat over the wing like I wanted. And since I only brought a suitcase and a small duffel bag I didn't have to check any luggage which is free for two bags anyway. I am 5' 3"" and small but I imagine that someone much taller and larger would still be as comfortable as I was in the seats. The planes were very clean and the staff were very welcoming and enthusiastic especially on the way down to Orlando. The flight attendants are quite funny during the safety briefing and manage to make you feel as if you are listening to a human being instead of a monotonous robot. They were also sympathetic when our flight back to Albany from Baltimore was delayed about an hour and our gate was switched twice and the captain addressed us personally to apologize. As all three of my flights were less than 3 hours each I didn't order anything but the complimentary snacks were a nice touch. Although each plane I flew on was wifi-equipped I did not purchase it but I did use the free flight tracker. Overall Southwest offered outstanding service and comfort at a lower price than most other airlines that I have flown on. Southwest has given me an experience that I would gladly repeat many times.",Promoter
Flew HKG-MEL on an A330-300. Went on board with great expectations and was left wanting to be honest. First the good things dedicated check in and boarding which some of the other airlines that fly PE could learn from. The gluten free meal I was served was tasteless and the entertainment system I found was nowhere near as good as the BA one was. Service was sketchy at best couldn't recommend them.,Passive
Short domestic hops between Kiev and Odessa. Their ground handling is fine online check-in works no delays. The planes were in fine condition. On the flight out they managed to serve hot snack (50 min long flight) inbound catering was rubbish. Crews friendly. The ticket price was a great deal of 75 USD roundtrip including taxes.,Promoter
"Frontier Airlines is the pits of the pits. First flight from Charlotte to Denver was the first disaster. Boarded and ready to go and told 4 times we had to wait because proper paperwork couldn't be found. Finally they just told us to get off. 90 minutes later the paperwork was found and we were told to reboard. Nearly everyone missed their connections. Then Denver to Portland was late departure and late arrival. As I type I'm sitting on the return flight from Portland to Denver. The fare went from $385 to $520 with all the nickel and diming. Bag fees, and seat fees.",Detractor
"I flew direct from Birmingham to Delhi and return with Air India recently in Business Class on a Boeing 787. The flights were timely, the cabin was spacious and the cabin crew worked very hard to make everyone as comfortable as possible. Although perhaps without some of the finesse and presentation of other airlines, the food was fine. I also found the entertainment system perfectly acceptable. Most important, the outward flight was only 7 hrs 50 mins. I have travelled to India with a range of airlines - some direct and some via middle-eastern hubs. Taking all factors into consideration (duration of flight, convenience of travel to airport, space in the cabin, waiting times for transfer flights and value for money) I would travel with this airline by choice on my next trip to India.",Passive
Booked my flight to Phoenix with the aircraft showing as a 320 only to discover when I received an itinerary change notification the equipment would be a rouge 319. My first flight with Rouge what a dreadful experience - old aircraft no leg room even if you 'rent' an ipad the entertainment options are dismal and no discount in the price. Having been a loyal supporter of Air Canada for many years with Super Elite/Elite status and having flown over 1-million miles I was extremely disappointed with the 'standard' that Air Canada is now offering under this brand for future travel I will certainly we looking for other options when travelling to any destinations being serviced by Air Canada rouge.,Detractor
Nov 16 2013 TG 476 SYD to BKK. The seat was comfortable. Food was quite poor for First Class some of it was not as described and some was inedible. Service was poor desite the fact that there was only two of us in First Class. When I asked for a top-up of ice my dirty glass was returned to me with the ice - lipstick marks and all. The toilets were continuously occupied by the staff so the two passengers had to wait - what a joke. Ground crew took forever to line up the portable staircase massive incompetence.,Detractor
"Surprisingly decent flights from YWG-YYC-OGG. Flights on time from YWG delayed slightly from YYC-OGG. Air Canada 767-300er (non rouge) is a solid air craft. Surprised however that the crew did not offer a free meal on a 7 hour international flight. Passengers we're restless about that. Decent pitch for a guy who is 6""4 such as myself. The better of the two AVOD systems in Canada for sure. Only gripe was an extended period of ""turbulence"" where there was no communication many passengers stood up to use the facilities as did I. About 3-4 hours into the flight. The senior flight attendant rudely remarked ""you know the seatbelt sign is on!"" Not exactly highly service oriented. But still worth the trip from Calgary. This route for sure will be a rouge flight soon in which case avoid like the plague. But for standard AC mainline about as expected nothing wrong but a few things missing. Far superior to United service to Maui for example through Denver.",Passive
" Basel to Cape Town via Istanbul. When I arrived in Istanbul at 10pm we are informed that TK44 to Cape Town (departure at 1.55am) is delayed 4,5 hours. No reason for this Delay was announced. I received a voucher for Burger King, Sbarro Pizza or Popeys. The staff at the gate were very unfriendly.",Detractor
  Worst service ever from Vueling Airlines. After making us wait 2 hours on a delay they finally cancelled our flight from Paris to Venice. Then told us that the next flight we would be on was 3 days later and would take 18 hours to get to Venice. Didnt put us up in a hotel even though it was 11pm by the time we sorted everything out.,Detractor
"  Chicago to Paris via Keflavik. We flew on Icelandair to take advantage of the free stopover program for our honeymoon to go to France for a week with a 3-day stopover in Reykjavik at the end. On the way out, our flight was delayed 2.5 hours. The crew was not forthcoming with information as the delays mounted. Once we boarded they insisted that we would ""make up time"" and be fine. They refused to give anymore information. We missed our flight, as we were 30 minutes late for our 745am departure. It seemed like dozens of people were on our connection and missed the flight. The customs officer remarked to us at passport check that this seems to happen quite frequently with Icelandair. Any information that you see about short connections being a problem or that they will hold a departure for a late arrival with numerous connecting passengers does not square with our experience. They rebooked all of us on a 1am flight and gave us hotel. We were sent to the wrong hotel and then sent to a hotel that didn't have availability. This was how we started our honeymoon. On our return trip, we were diverted from Chicago to Minneapolis inflight after circling around ORD for a while without getting much information from the crew. Upon landing in Minneapolis, we sat on the runway for 2 hours before regulations forced them to deplane the passengers. Our plane had to be towed into the gate and they were not forthcoming about the subsequent equipment failure other than that they couldn't get the engine to start. They were not able to get the plane to fly afterwards and did not provide any information about an alternate flight. They did not have hotels available so once we deplaned, everyone was stranded without information midnight. After a couple hours, once most people had left to figure out accommodation on their own, they finally arranged for hotels. My wife and I rebooked onto a Southwest Airlines flight as we still had not received information on any type of return flight. I strongly recommend against booking with Icelandair due to the lack of communication about delays and the failure to provide support to passengers and the variety of other issues associated with twice being stranded.",Detractor
" As we were checking in for our return trip, Ixtapa to Edmonton via Calgary on Feb 15, 2018, the check-in lady at Ixtapa airport removed my husbands passport from a plastic protective cover, scanned it, and then put it all back together again. When we arrived in Edmonton and went to do our customs declarations, we found that she had tucked the passport cover and the photo page into the plastic protective cover, and in doing so, ripped my husband's passport right through his photo. This was the first trip taken on a brand new 10-year passport, and it was ruined. We looked up the procedure of replacing a damaged passport and discovered that it is full cost of $160 plus new photo's of $35 -- plus it requires as much information as though you've never had a passport before - far more than simply renewing an expired one. A lot of unnecessary expense and hassle. We contacted Sunwing the very next day - on Feb 16, 2018, and advised them of what had happened, and requested that they cover the cost of replacement, since it was their employee who destroyed it. It is now April 18 - beyond 2 months later. We have not had any communication with Sunwing, except an email saying that they are experiencing higher than usual volumes and their investigations are delayed. As far as the trip, we just purchased the flight only as we had our own accommodations, it was adequate. Food is nothing special. I was not impressed that Sunwing changed their policy on flights-only to exclude one free piece of baggage included in your price. Our baggage ended up costing us an additional $115 - nothing but a money-grab, for sure! It was a little bit cheaper if you pre-buy it online, as opposed to paying at the counter. We chose this flight because it was more direct than any of the other flights available (Just a drop-in to Calgary to pick up more passengers) and the price was good, even though we had to pay extra for baggage. The return flight was in a much older plane and the seating was extremely tight, but we endured and everything was on schedule. We chose this flight because it was more direct than any of the other flights available.",Passive
"Singapore Airlines was always noted most for their cabin crew attentiveness, you read it still in their proud history in the inflight magazine. I think the slogan was 'Singapore girl, what a great way to fly'. Nowadays if you are lucky enough to be in business you will still come across one of these amazing women. However, you are more likely to get the totally uncommitted new fleet of cabin crew in economy who view the public as a bit of a nuisance and eye contact has gone. Tragedy that whoever is in charge of training cabin staff for this airline is doing a terrible job and losing loyal customers. On my flight, SQ217, Singapore to Melbourne, 10.45 on July 7, I had a rude male steward ever who did not smile once. Back to Qantas for this frequent Australia to Europe passenger.",Passive
My last trip with Ryanair was Modlin-Hahn-Modlin at the beginning of December 2013. Both flights were excellent. Each time I'm in Europe I indulge myself in city hopping. It's only possible thanks to Ryanair's prices. You get what you have paid for: Affordable and safe transport from A to B. Pros: Price modern planes efficient and friendly cabin crew. On time arrivals. Cons: If you have additional luggage you have to pay for it. Make sure your carry on meets the exact size requirements. Seats are a bit tight but for the price I paid I can live with it Comments: If you are budget conscious and adventure oriented definitely go with Ryanair. Really good airline to choose if you like to travel.,Promoter
"  Flew Melbourne to Hobart with Qantas. The plane was quite old and my seat was stained with food from the previous flight. Furthermore, the iPad provided for in-flight entertainment was not working, which I guess is because it ran out of battery. Luckily, it was a short 1hr flight so the iPad wasn't really necessary. Despite these shortfalls, the service crew was friendly and they served breakfast quickly. Although it was a cold breakfast with yogurt, fruit bars and dried cranberries, it tasted good. Overall, the flight is not fantastic, but the good service crew managed to make the short flight better.",Passive
" Jakarta to Yogyakarta. A short but pleasant flight. Even though it is just a short flight, all of the services expected from a full fledged carrier is being given. Meal is not given because it is short distance, but light snacks and drinks are still given. All of the flight attendants are really pleasant, and all of the niceties is present even though it is just a short flight. The landing on the other hand is a bit rougher than usual Garuda Indonesia's flight.",Promoter
"  Stockholm to Bangkok via Doha. Check-in operated by SAS staff at Stockholm opens 3hrs before, a little slow as they validate visas and pass people along to pay extra baggage where applicable, but nothing worryingly so - all outsourced check-in is the same in my experience. Boarding Boeing 787 was efficient. Aircraft hot until about 15 minutes after departure. Legroom and space felt very limited, especially with the IFE box under the non-middle seats, but it wasn't the nightmare I had geared myself up to expect. It took a while for water to be distributed, a small bottle of water on each seat would go far to passive passenger until the first service. Water only available in tiny glasses, no larger containers or bottles available. Transfer at Doha efficient, the benefits of bus service is they open both front and rear doors, so the five minutes you spend on the airport tour is mitigated by the ten minutes saved by non-bridge disembarking. Flight to Bangkok on Boeing 777 full, gate security slow, seats a little better than 787 due to no IFE box. Plane hot, several minute pushback delay and no water again for the first hour. Meals were good, staff were great - very friendly, toilets were always clean. However I've cancelled my return flights in April 2018 taking the $200 on tax refund and putting it towards another airline. Qatar need to address the seating on the 787 or at least remove the under seat IFE boxes.",Passive
" Valencia to Milan Malpensa via Madrid. Good aircraft (two flights). High price and luggage not included in price (one 15Kg bag for two passengers). This is not explained in the site when buying ticket. Thus I had to pay 60 Euro for a single bag. In addition, Fee requested for selecting seats. Thus: a return only flight for 2 people was 400E = 200E each. Airlines are profiting of you: luggage allowances and seat selection fees (as well as priority).",Passive
" Lisbon to Frankfurt. Business class Check in at Lisbon Airport is on the main floor, but there are no clear indications. Courteous check in, fast and efficient. Could not check in online. Boarding was ok, a bit confused. Take off was on time. Business class is the same as economy, only the middle seat is empty. They serve lunch with 2 options. I do not drink alcohol, so can't review the wines. Food was ok, nothing outstanding. Cabin crew is polite and attentive. Arrive on time in FRA.",Passive
" Tokyo to Houston via Beijing. My flights to and from Japan were fine. As far as the flight, outside of the casual method of boarding everyone at once, the flight had no problems. The food was typical airline fare. The attendants were friendly. The entertainment was a little glitchy but it didn't ruin my experience. They say not to use digital devices onboard but that didn't seem to be enforced on either of my flights. I'm sure some people might think this review is a plant (related to an employee even) but I want people to know that I had a normal flying experience and think staff should get credit where credits due. They worked hard to make passengers happy. If not for a flight that had more connections, I'd consider flying with them considering the bargain price.",Passive
"  Flew Ukraine International for the first time from Barcelona to Kiev, and then from Kiev on to Lviv. This was our first time going to Ukraine, so we didn't know what to expect. Check-in in Barcelona was quite slow as they seemed understaffed, but the boarding experience was pleasant and the plane ended up being about 2/3 full. The plane was in fairly good shape, and the crew was efficient and spoke passable English â€“ though they were not particularly friendly by Western standards. Food/beverage was all buy-onboard, but large sandwiches were only 3 Euro and seemed to be very popular. I paid 2 Euro for a chocolate bar and a soda, also very reasonable. They are cash-only onboard, so make sure to have small bills/coins. Water was complimentary. Transiting Kiev was relatively easy, though we were transferring to a domestic flight so we had to clear Ukrainian immigration at Kiev. This process was pretty efficient, as there is a separate line for ""Non-EU"" foreign passports and the handful of Americans aboard our flight from Barcelona had this line largely to ourselves. All signs in the Kiev airport are in Ukrainian, Russian, and English, so it was easy to get around. They did not make us collect our luggage and re-check it onto the domestic flight, which was a nice change from American airports. Going through security again to reach the domestic departure area was hectic, as nobody seemed to really respect the line and would cut in at will. The staff in the domestic terminal spoke good English, and were helpful if asked. The Lviv flight was delayed due to heavy fog, but announcements were made in all three languages about the delay. Overall it was better than I expected. I'm not sure I'd choose them for a longhaul, but they got us where we wanted to go at an excellent price.",Promoter
"I booked a business class flight from Heathrow to Accra via Amsterdam. Not a pleasant experience. I checked in early, had my seats confirmed for both legs of the journey and turned up to the Gate to be told there was a problem. The check-in guy took my boarding pass and, after a few minutes gave it back to me saying the problem had been solved and that I could board. I had the same seat on the first flight, but did not look at the second. Big mistake. They had put me on standby despite me having checked in earlier. When I got to Amsterdam I was told the flight had been heavily oversold and there was nothing they could do. I went to the gate to find total chaos. Loads of people were without seats and they were asking for volunteers to miss the flight. In the end, after much argument I got an Economy seat. I have sent two emails to KLM customer service but with no reply. I got sent a completely incomprehensible automatically generated email which nobody I show it to can explain. So, here I am - initially chucked off the flight, paid for Business class and got Economy and no response to my emails. What rubbish customer service. I fly long haul continually for business and will make sure I do not use KLM again.",Detractor
" Delhi to London. Earlier this month I reviewed the outbound sector of my trip, this review covers the inbound sector on the 31st January. Although the plane was a Boeing 787, it was quite an old one and hence badly maintained. The seat cushions had all of the comfort sat out of them, there were quite a few overhead lights which did not work and both mine and my companions headset sockets were faulty. This time, the crew were a little bit better but only very marginally so. We were given a reasonable lunch meal soon after take off, the cabin crew came round once during the nearly 10 hour flight with water and our pre early evening landing snack of a roll was so cold as to be almost frozen. During the flight our ""seat belt"" lights came on a few times due to turbulence but this did not disturb the crew who stayed inside their curtained off galley areas and never came out to check that everyone had buckled up. When we were landing, no one came around to check that seat backs were in the upright position (and therefore many were not) nor to check that people had buckled in. The cabin crew member who was a few feet away from me and in charge of an emergency exit, closed his eyes and went to sleep for about 20 minutes whilst we were landing. I suspect he was assuming that if we crashed on landing, the jolt would wake him up ! Does anyone in Air India care about the poor performance of their economy class cabin crew? I imagine not because otherwise these reviews would not be published.",Passive
"Delayed Delta flight from Las Vegas to JFK New York which resulted in a missed connecting flight to UK, the outcome a 28 hour delay. Extremely poor customer service from Delta staff. Offered no information or support told to find a hotel. Asked for manager twice told they were unavailable, had no wifi to call a hotel and staff would not assist. Given a red blanket and instructed to wait for next flight 24 hours! Spent 400Â£ on taxi and hotel missed day at work. To top it off my luggage is now in New York not UK, after being assured it would be on correct flight. Understand flight delays, however attitude of staff disgraceful, and won't use Delta again.",Detractor
"Ft Lauderdale to Detroit return with Jetblue. The boarding agents at Ft Lauderdale were not helpful. I had a seat but my husband did not and they would not seat us together without us paying more because they only had ""more leg room"" seats available. Not a good experience with the check in agents at Ft Lauderdale. When we left Detroit the agents were nicer.",Passive
"Gatwick to Bilbao via Barcelona. Due to weather condition my flight was delayed - that is not problem when someone informs you, but the lady in the boarding gate was terrible, unfriendly and ignored all of us. Once onboard, the near 3 hours we were there without take off, they were very professional and friendly and the commander kept us informed all the time. Of course I missed my connection flight, once in Barcelona I tried to sort out the problem, once again no staff at any customer care desk. Finally Iberia sorted out my problem, but at the moment still not having my luggage.",Passive
"Kamloops to Sydney via Vancouver with Air Canada. I have used Air Canada a lot for my business travel over a number of years, and I have always been satisfied with my experience. Recently, my partner and I planned a trip to Australia for the very first time. I have never flown Air Canada ""internationally"" before so I wasn't sure what to expect. We found our check in online to be very smooth and quick the night before. The first flight from YKA to YVR was smooth like always. The Air Canada employees at YKA are very helpful when it comes to dropping off your bag, and sending the luggage through to our final destination. Once we arrived at YVR (in the evening), we went through security and customs, and then had a nice dinner in the international side of YVR. Our flight from YVR to SYD was scheduled to leave at 11:40, and we left pretty much right on time. We were seated in ""Premium Economy"", and I was very satisfied with the seat comfort and our space. There are only 3 rows of seats for premium economy, which made the long flight comfortable, and less claustrophobic. The service was great, the food wasn't too bad, the entertainment was very good, and the cabin crew checked on us quite frequently throughout our flight. We arrived into SYD in the morning, feeling fairly fresh and rested from our flight. Overall, all 4 flights with Air Canada were very good. Everything was on schedule, and the staff that we interacted with were very helpful to us on our journey. If we go back to Australia again at some point, we will definitely take Air Canada again.",Promoter
"Flew Swiss from London to Johannesburg via Zurich in Business Class. This was my first time flying with them, and I was very impressed. The IFE is not as advanced as some airlines and the aircraft are older but the service, cleanliness and quality of food and drink make up for this. The mix of age and experience of cabin crew was a definite plus point and the punctuality of arrival and departure appreciated. A very enjoyable trip. I would be happy to recommend Swiss and will fly with them again.",Promoter
" It was hard to fault this short haul flight with Qantas. The terminal at SYD is spacious with easy self-service bag drop and helpful staff if anything goes wrong. There are many shops, cafes and facilities right up to the gates. Boarding was efficient and on-time both on our outbound and return flights. The real gem of these flights were the polite and friendly to a fault crews who greeted each passenger with warmth and by name on arrival. During the flight despite it being only a short 1 hour trip, the crew were professional and delivered a snack and drinks service which was very tasty and very much appreciated. The whole process went smoothly from beginning to end and you can't really ask for much more. Qantas' short haul domestic product is certainly worth it over cheaper rivals, especially if you have checked luggage which is included in the ticket price. A great experience.",Promoter
"Flew DEL-ORD and back. Poorly maintained aircraft B777. Worn out seats. Cleanliness sub-optimal both for the cabin and in the lavatories. Staff only does the process of rushing through meal service thrice during the 15 hour flight and switch off lights rest of the time - unlike some of the good East Asian airlines, there is no one regularly going through the cabin to see if passengers need anything. One can always go back and ask for tea/coffee. There is water/juices kept in the aisle but they really don't come back to see if replenishments are needed. In-flight entertainment inadequate for such a long flight. Flight path either not switched on in time or grossly inaccurate. Safety vests hanging out from below most seats. Food quality and quantity both average. On the forward flight, the salad was spoilt and I had to return it. Only good thing is the cost - I had purchased a hugely discounted ticket - cost far less than what was available on other airlines.",Passive
"Third time flying the British Airways A380 and the only reason that we did is because it was a BA Amex 2for1 redemption. However to ensure that we maxed out the experience, as always we pre booked seats. On checking in online seats had been moved, contacted BA Bronze and reply was ""cannot answer why, possibly operational reasons, more information should be available at check in"". Check in, no response. On board our seats were occupied by what appeared to be ""normal"" passengers, i.e. no entourage. Seats we were allocated, lumbar and head rest functions did not operate, cabin crew tried rebooting but no luck, so onwards and upwards. Having flown BA a reasonable amount I have come to the conclusion that the cabin crew, despite operating with poorly designed cabins, poorly maintained (seats) equipment (we had a similar scenario on a Heathrow to LA and return last July where we had the same reg plane, same seats and similar problem which was not fixed after the flight out) manage to maintain a brave company face. BA Club Lounge: Again, food choice poor, running out, although granted peak hours, but if other airlines can cope why cannot BA? Cabin crew: Service very good and friendly. Food reasonable, but nothing that makes you say that ""that was good"". Entertainment: Poor, old ""ish"" and second rate movies, enough said. Seats: Unfortunately in this case we leave the worst till last. Having flown Qantas, Emirates and Qatar A380's like everybody else we wonder why BA did not take the opportunity for a redesign of layout and seat area. Well we know why = Â£Â£Â£'s, Question? Does no one on the BA cabin design team wear glasses? There is no storage space, if it goes in the drawer with the shoes, you have to move the seat from sleep position to access, so you are left with the possibility of either wearing and damaging said specs, or hanging them over the separator. Again, competitors manage it. The seat itself, is harder than the competitors above (mattress?) and apparently I discovered that extra pillows are no longer carried, so you have one and thats it. Unfortunately, we do still have to use BA next March, but have booked Qatar again for October. Additionally, the Customer Service service in India is sadly woefully short in all areas, although polite working from scripts and unable to solve / answer simple questions. Frustration. A question for BA: We really want to support and be proud of our national flag carrier but what are the incentives for using BA? I do not mean cost.",Passive
"I flew with Delta from Chicago O'hare to Pisa via Detroit and Amsterdam. Between the big three American airlines (United, AA, and Delta), Delta would be my favorite. On all the flights they were organized, fast and on-time. From Chicago to Detroit, which was flown on a crj900, lasted only an hour but they still handed out snacks and drinks. On that flight my family and I were put in Comfort+ for no extra charge. Comfort+ had very nice legroom and very good seat width. The long haul flight from Detroit to Amsterdam was flown with a 767-400, which is in my opinion the nicest plane that Delta flies. With a 2-3-2 layout and me traveling in a party of 3 made it so we traveled in the middle section and were still undisturbed by an extra person next to us. It made the entire flight feel a whole lot more private. The IFE systems were great and had plenty of movies to watch. Were left on time and arrived 20 minutes ahead of schedule. This made it super easy to catch my connection. At Amsterdam we had plenty of time to relax and explore the airport. We had to fly with Transavia, one of the low-cost carriers linked with KLM, and that was slightly chaotic in boarding but comfortable inflight. We arrived on time and I'm impressed with the quality of Delta.",Promoter
"  Boston to Fort Myers. Most unfriendly staff ever. The TSA employees were friendlier than the women at the check in counter. However, I can deal with subpar employees, what's a tough pill to swallow is when you are told your outside of their 45 minute check in window by 10 minutes but you're waiting in line for over 15 because they have one woman working the counter. So 99 dollars later and an 8 hour wait in the airport for the next available flight was my option. Airline is a joke. Pay the few extra bucks for another airline that won't screw you over.",Detractor
"I traveled with my wife to Paris (CDG) from Boston on June 14 on AA146. The attention was mediocre and even forgot to give my breakfast or snack. On the return flight on June 26 from London to New York flight AA107 the service was better, like the food, plane with plenty of room for the feet and service better than normal.",Passive
Flight Porto-Brussels 17 Nov 2014 Business Class (origin from Rio de Janeiro) Fokker 100 operated by Portugalia. The plane was at least 30 year old it should be in a museum and not flying anymore. Everything was old run-down and depressing. However to be fair the staff was particularly nice smiling caring and professional (usually not the case with TAP where staff are usually demotivated careless if not rude).,Detractor
"Boston to Malaga via Lisbon. The problems started in Boston as the flight was 90 minutes late leaving. Normally, this wouldn't be a huge problem, but we missed our connecting flight from Lisbon to Malaga, after being told by numerous TAP staff that we'd make the flight. We were able to get a later flight to Malaga, 11 hours after we arrived in Lisbon. Worse still was the return flight. The Malaga to Lisbon plane, which was scheduled to depart at around 11am, eventually left at 9pm, so our connecting flight to Boston had left hours earlier. We had to rebook a flight from Malaga to Madrid on Air Europa, spent the night in Madrid, and flew out at 6am on a KLM flight to Amsterdam and then a Delta flight from Amsterdam to Boston. There were some TAP employees who were helpful (especially when it came to rebooking our flights) but the overall experience was dreadful. The entertainment system on the long haul flight was cheap (compared with, say, Delta or Virgin Atlantic). I won't fly TAP again.",Detractor
Munich-JNB business class. Quite a pleasant experience. Comfortable lie flat seat good entertainment and good food served by very pleasant and efficient staff. Definitely a superior business class. I would definitely fly them again and prefer it over Lufthansa - which I am using on my return journey.,Promoter
" Glasgow to Frankfurt. I understand all the complaints to a certain point. You have to know Ryanair's system, but when you do. you have a smooth flight. Cabin crew very friendly and the flight was on time. Luggage delivery was very fast in Frankfurt.",Promoter
"Undependable, rude service. My last round trip one flight was delayed 7 hrs (weather delay which I know you can't control) the other 4hrs. The flight with 8 hr delay - myself and a few passengera went out to the desk because we could not rebook at gate which doesn't make sense. There was 15 to 20 people in line, and five behind counter and two standing infront. Four were helping the same customer, 2 were on their phones, and the last one was sitting on the luggage carousel. When I finally got to front I asked about re-booking, she informed me there were only 4 seats for following days flight. Told if I want to get where I'm going I should just be patient and wait. I smiled and walked away and ""patiently waited"". On my return flight, it was at 1.30pm, I started getting emails at 8am that it was going to be delayed and gate changed. I paid for seat and checked bag online in order to get through faster, but there was no bag drop line so had to wait in line for 40 minutes to get a tag for bag. When got to the counter I was told the flight was delayed again and L7 was the new gate. When arrived at airports both times after landing late, had to sit on runway for an hour to get a gate. I will never fly Spirit again.",Detractor
" Rome to Melbourne via Hong Kong. Seats are comfortable except for the usual complaints of backs being thin and passengers disturbing you with each move. But I found the service terrible, it surprised me, as I have flown with Cathay a few times. On my first leg, Rome - HK, drinks and food took over an hour before serving, no pre meal drinks service and then my meal was luke warm, in fact one side of it was cold?. Anyway it was uneatable. All very rushed with no extra offer of wine or even coffee. Breakfast terrible , HK - Melbourne, the same but this time nothing served till nearly 2 hours into the flight which left at 00,15, I as well as other passengers had to ask for some water. Then food again rushed, sort of very un professional , mine this time was so hot, I had to wait for it to cool a little. Drinks trolley came at least 10 mins after the meal service. and no extra drinks or coffee. Breakfast again , not good. It seemed the staff were in training or, or. Not sure if I would consider Cathay again. I like flying to Europe, twice a year via HK or Singapore but usually take Turkish Airlines from Asia, such a great experience with well trained staff and very good food.",Detractor
I regularly travel with CS to South China usually with domestic connecting flights too. The value for money is good and domestic flights hardly get cancelled however the delay which is very good if you really need to be there for important meetings. I flew CZ328 from Los Angeles to Guangzhou on 17th May. Flight on time and A380 seats were comfortable. Toilets were kept clean throughout the flight. Food choices again limited. Inflight entertainment system broke down a couple of times and had to be rebooted. Business class cabin crew were polite and well spoken with eyes for details. All in all a good flight and recommended.,Promoter
