Review,Target
"  Guangzhou to New York on October 14th with China Southern Airlines. As a gold member this was an excellent service. My experience met my requirement, the crew were absolutely superb. Good food, nice service.I would like to thank all staff members for their service. I would be flying with China Southern again.",Promoter
April 30 from Amsterdam to Shanghai. Flight left 30 minutes late but arrived 20 minutes early. As usual FA's professional friendly and efficient. Food acceptable drinks plentiful. No issues whatsoever. Managed to sleep a couple of hours which is nice on a red-eye flight.,Promoter
I flew from Jakarta to Sydney in Business Class and it was fantastic! The cabin seat food and flight attendants were world class. The only fault I could find was that there was no 'flight tracker' option on the AVOD system. Other than that I had a great experience and look forward to flying with Garuda Indonesia again soon.,Promoter
"  San AndrÃ©s Island to BogotÃ¡. After arriving at the gate I was told to wait. I peeped to see what was going on and the crew was on their laptop playing some game. They were visibly embarrassed that some of us noticed them so they put on a charm offensive which did not last long. More than half an hour after take off and well after the seat belt signs were out they still had not open the front toilet. I was in 1A and was hoping to use it but could not ask them to open it because they had by now congregated in the back galley. Eventually they said I had to use the rear toilet because they needed to do a 'security procedure' (which was to feed the pilot and co-pilot). After this they still did not open the toilet and then congregated In the front galley chatting away very loudly with the curtain drawn as if we passengers were irrelevant to them. They seat belts signs then went on for the rest of the flight. They looked delighted because they just sat and chantted away and did not have to hand out food or drinks to us. Never seem crew so irresponsible, indifferent and careless.",Detractor
"Miami to London Heathrow with British Airways, and not overly happy with the experience. The A380 is an impressive jet, but despite paying the extra for Premium Economy the seats are like torture. It is impossible to get comfortable so sleep is not just elusive but impossible. Didn't feel that the Premium Economy experience was of any great value. Staff attentive and food reasonable.",Detractor
AC1900 Toronto to Athens on July 17 return on AC1901 on Aug 7. Our flight on AC Rouge to Athens was comfortable and we found the staff to be friendly and competent. As others have commented the seats are close together but my husband and I were comfortable (I'm 5'ft 4â€ he is 5 ft 11â€). The food and beverages were fine (meals included spicy pasta with a small salad or chicken breast with vegetables light snack included warmed wraps). We were regularly offered water during the 10 hour flight. With the Rouge app downloaded in advance the entertainment is fine. We had no trouble connecting to in-flight entertainment during our flight. Our son has an allergy to peanuts and having read the reviews on this site we were concerned for the cleanliness of the seats (potential cross contamination causing an allergic reaction) and the competence of the staff. Anyone with serious allergies will understand the level of worry that comes without access to medical assistance for a long period. On both our outgoing and return flights the flight attendants were very attentive and in both cases asked passengers sitting close to us to refrain from eating nuts which we greatly appreciated. We didn't use the blankets and pillow provided (brought our own) and brought allergy free food for my son so we didn't require any special or additional attention from AC.,Promoter
" We had an exceptional flight with Emirates from DÃ¼sseldorf to Dubai. The service on board was on point, the staff were friendly and helpful. The A380 was modern and it offered a lot of legroom. The inflight entertainment was amazing and offered a lot of new movies. Only the wifi on board was a negative on this flight.",Promoter
"Flew Aer Lingus from Dublin to Madrid to Dublin, Feb 5-7th. Flights were packed but I was delighted to see the introduction of ""priority boarding"" which comes if you purchase certain seats at the time of booking, found it very handy. Crew were very good on both flights, however the new in-flight menu has virtually nothing on it, no fruit salad and my colleague who is vegetarian could order nothing. Both flights were virtually on time, but it would be worth it if Aer Lingus reviewed their in-flight buy on board menu - remember Ireland has a weath of culinary riches.",Promoter
"Lufthansa from Frankfurt to San Francisco. We departed more or less on time, something of a minor miracle at Frankfurt where you frequently feel that you've driven halfway to your destination before you reach the runway. We were upstairs on the A380 which was pleasant. The upstairs economy cabin is relatively small (only 40 or so seats) and feels quiet and relaxed. The seats were OK, not the best legroom and a touch on the narrow side, but not too bad. I would certainly recommend trying to get seats upstairs on the A380. The entertainment system worked well with a reasonable choice. The food was dreadful - other airlines manage to serve meals that taste of something, it's about time that Lufthansa managed to do the same. All in all, not bad, but sadly let down by the food.",Passive
" London Heathrow to Perth via Hong Kong. You learn a lot about a business when things go wrong. I've learned today that CP struggle greatly to deal with difficulties. My premium economy flight was originally scheduled for 17:15, to Perth via Hong Kong, but was subject to repeated delays until my connection was under threat. The people in the lengthy queue at the desk informed me the flight was unlikely to leave and that staff were rebooking people to other flights, even other airlines. I waited for more than two hours in the queue, eventually to be told that there were two options available . I could take the first leg in the 5 hour delayed original flight, with no onward connection available until 24 hours after the original, resulting in a full day delay. My other option was to fly another airline, to Sydney via Singapore, with a lengthy wait there until a connection to Perth, the latter leg in economy and around 14 hours delay. No upgrades were offered, despite those delays and the inconvenience. I asked about being upgraded and was very reluctantly offered business class on the first leg only, on the first option. That, apparently, is the very best they could do for me. During the conversation I was invited to explore other routes and options myself online if I thought I could do better, told that I should appreciate that they hadn't deliberately planned this disruption and informed that they were dealing with lots of people in the same situation - as though I was somehow not appreciating fully their problems and being rather selfish in the circumstances. I won't be flying with them again after this trip And I'll be spreading the word around our Australia-based business - not because they had a problem with my flight but because their response to it was haphazard and unsatisfactory.",Detractor
"  Phuket to New York JFK via Beijing with Air China. This airline literally ruined the end of my vacation. First of all, the crew from the ticket counter to the airline stewardesses were rude. During the 13 hour flight, the food was disgusting and I was provided the equivalent of 2 dixie cups of water. When I asked for 2 more cups of water, I was told I was only allowed 1! When I asked the second time, I was told to go into the galley and get it myself. I have never been treated with such disrespect. On the way there, in my weariness from traveling 32 hours, I left my tablet in the seat pocket. When I called the airline once I got to the hotel and realized it was missing, I was told that it was not their responsibility and that I would have to deal with the Phuket airport. I called them and of course no one spoke english. Upon returning to the airport at the end of my trip, there was zero Air China customer service attendants to be found and their office was empty. To add insult to injury, while in Bejing on my 1 hour layover, the ticket attendant literally yelled at me and fellow passengers that we were 'slow' and needed to 'hurry up' to make our next flight to JFK - our plane had just arrived! Once getting to JFK, my luggage was nowhere to be found. I had to go to the Lufthansa counter to report my lost luggage becausee (surprise!) no Air China employees could be located. I was told that nothing was in the system tracking my bag and now, 4 days later, my bag is still no where to be found. I can't even file a missing bag claim with Air China because there is no customer service number and in order to file, you must mail or fax (what is this, 1980?) to a number that is provided by the local lost and found office which is unobtainable because no one answers the phone at JFK lost and found and no one returns calls. Long story short, saving money is not worth it. The $200 I had saved has now cost me over $2500 in lost valuables with no remediation.",Detractor
"  Hamilton Island to Sydney. Check In was quick and easy. There is no business class lounge at Hamilton island but this is not an issue as the check in time before departure is quite short. Flight was a little late boarding whilst the plane was cleaned. Flying a B717 was a first for me but was comfortable and smooth. Qantas had supplied Ipads for the inflight entertainment, although the battery was flat on mine, so I used another. In flight service was excellent. Good view of Sydney on final approach to airport. Flight arrived on schedule and bags were on the belt by the time we had walked to it.",Promoter
" CUR-AMS with KLM Royal Dutch Airlines: Night flight. Started a little bit later but arrived 45 min. before schedule. Ground and onboard service very kind, food was average, but we had brought own provisions, mainly because they are not able to combine at least two food restrictions (for instance low carb and gluten free). Entertainment was poor, earphones same scrap as on the inflight. As I always bring my own comfortable down cushion, I manage to sleep even in Economy seats, so that was no problem. AMS-FRA: Started a bit later, same annoying snack as on the inflight, of course. Waited very long for the luggage, luckily we checked it on the spot, found one of our trunks demolished and reported it to the counter. That went well and was served kindly, now we wait for the refund.",Promoter
We went with 6 people (4 adults and 2 children). We accidentally had two pieces of luggage too much (this was our own fault) so we paid the extra other airlines do the same so its not just Ryanair. Boarding was very smooth and the children received special attention from a friendly crew member. Plane landed on time in Rome. Return was about the same. I fly regularly with Ryanair and I never had any problems. Delays are hardly the mistake of the airline but of the airport and the airport handling so you cannot blame them for that. Also people flying with Ryanair don't want to pay much for their tickets but they complain about the people paying the extras like priority boarding. Some passengers not paying for the extras were complaining why we could get on first! Also if you preselect your seat with a small extra you can print your boarding pass (also for the return flight) at home. Even with all the extras Ryanair was the cheapest solution. So to be frankly not Ryanair is the problem but some people flying with Ryanair are. Ryanair is very clear about their rules and I really don't understand why people don't obbey them? Do they do it on purpose maybe hoping they get the full service and not paying for it? I like Ryanair they bring you very safely from A to B for very little money. I don't expect much from them but I am always surprised they give good service for the money you pay.,Promoter
7/7/2014 ORD-FCO AZ0629. 17/7/2014 FCO-ORD AZ6028. I would never recommend flying Alitalia! Plane was very old. Plane was very dirty food all over floor when we boarded. Only 3 out of 6 restrooms were in working order and those were filthy. Not cheap tickets so I expect much more. Heard lots of complaints from the passengers so we weren't the only ones who were very disappointed.,Detractor
"  New York to Orlando was the best short haul flight I've taken. Cabin crew were friendly, casual but efficient. I was amazed by the retrofitted cabin design and how bright it was. Overhead bin was massive and a carry-on suitcase could fit sitting on the side of the suitcase instead of flat as they normally do. I appreciated when the crew kindly reminded every passenger to get to their seat as soon as possible and move away from the aisle to speed up the boarding process, since we started boarding a few minutes behind the scheduled boarding time but arrived in Orlando 20min early. The entertainment system was very amazing and it's even better than those on long haul international flights. Big screen and a lot of movies to choose from. Free non-alcoholic beverage and snack is a common practice in US domestics flights. I will choose Delta again.",Promoter
" London to Shanghai via Frankfurt, on the first flight, I was seated in the last row in 32F. The flight was reasonably smooth with the usual meat/cheese sandwich provided and landing about 20 minutes early. The connection time was about 2 hours but the secure area we were in had very few facilities: a small restaurant, McDonalds and Heinemann Duty Free. On the flight to Shanghai, I was sat on the aisle. The food was incredibly salty with the smell of BBQ sauce wafting through the cabin. It was a night flight and of course we couldn't sleep but the movie selection had clearly not been updated. The seats were relatively comfortable and the service was quintessentially German. The flight landed on time.",Passive
"Flew Economy on BKK-PVG-FRA and return. The ticket price was very cheap. Seat Pitch is okay PVG airport Terminal 1 is a bit soul less and don't expect to find much to keep you busy but transfer was okay food on the aircraft is bad but edible if needed. Suggest that you stock up before the flight. IFE was okay on the A330 not excellent but fair the short haul fleet has no such service except for overhead monitors. No amenity sets handed out so take your tooth brush with you. Drink choice includes beer and wine ""made in china"" and soft drinks. No spirits. Flights were on time and check in and boarding was normal. All in all it is a bit like an LCC flight with only basic service features. Baggage allowance is very generous even so I did not take advantage of it. Service was not brilliant but I guess okay by Chinese Standards command of English is basic. All in all exactly how I expected it to be.",Passive
" Moscow to Phuket via Abu Dhabi. Truly satisfying experience. The planes are very new and clean. All flights on time. Very professional ground staff and cabin crew. Very useful assistance during transfer in Abu Dhabi. Extremely comfortable seats. The entertainment system is great - lots of excellent movies and music, not a single chance to get bored. Quite interesting inflight magazine too. There are things to work on, though. The food quality have dropped significantly during the last couple of years - the meal was surprisingly mediocre and not tasty. Also, the Etihad mobile application tends to crash and depict errors causing the necessity to dial the call center for simple operations. The call center is rather useless though. For example I had failed to change my seats via application and asked to do so via call center, but the guy there was trying persistently to convince me, that the seating I required was not possible. Of course the issue was solved in 1 minute by the ground staff at the airport, luckily the seats that I wanted were still available.",Promoter
Dublin to Toronto return. Okay the seats aren't the most comfortable in the world too thin and seem to lean slightly too far forward but otherwise I had no issues and my back survived both ways. There is less space overall on the plane compared to other transatlantic flights but I was still able to get up and walk around. I was aware before hand that you needed an iPad to watch the inflight entertainment so I had books etc with me instead. The food is the best airline food I've had on any flight. The staff were pleasant and polite and in dealing with one passenger with special needs on the return flight were the best I've seen on any airline. I would fly with them again. In addition unlike certain airlines - the staff were up and down the aisles frequently with extra water for passengers.,Promoter
Flight form Munich to Malaga LH1834. Flight left on time and arrived 10 minutes early. Surprisingly good legroom for economy but there is no entertainment offered what so ever bring your iPad if you want to watch something. Flight attendants were friendly sandwiches were served we good.,Promoter
Flew Turkish Airlines for the first time in December Business Class from Dhaka to Vienna return Paris to Dhaka. We were disappointed in a number of things. There was no entertainment service (out of order both ways) and the attendants while not unpleasant were more interested in chatting than serving. The food was excellent and the beds OK. The rap highlight however was the Istanbul lounge which must be amongst the best in the world. Fabulous food and services.,Passive
"  All the additional fees are clearly stated before you purchase tickets! It's a ""bare fare"", if you want luxury - buy tickets for a triple price from different airline. I was more than satisfied with our flight from Atlanta to Boston, and back. The flights were on time, arriving even earlier than anticipated. Customer service was superb, flight attendants cracking jokes, very courteous. I have read the bad reviews before our trip and was afraid, but decided that financial benefit in my situation is bigger than bad reviews. I would fly Spirit Airlines with no hesitation next time. Great job! I am sorry people cannot read what is included and what is not, and complain about their own mistakes. The one and only note - the seats are uncomfortable.",Promoter
Beijing (PEK) - San Francisco (SFO). Aircraft was a 15 year old 747. Cabin amenities were showing their age. Seats were the new kind and were quite comfy and could recline well. Lack of entertainment was troubling but I had brought my own entertainment. Food was average and was edible but could be better. Overall a not bad flight.,Passive
" Brisbane to Dubai. We were checked in by Liam at the Emirates counter at Brisbane Airport on 13 January 2019 Emirates flight EK 435 to Dubai. He was welcoming, polite and highly efficient in checking and completing the check-in process. I have two passports and he quickly checked and advised how they should be used to meet re-entry visa requirements. Well done to a professional with superior customer care skills.",Promoter
Flew LHR to Larnaca and return 22nd April and 29th April in Club Europe. I had high hopes for Business class albeit shortish haul but was somewhat disappointed. Legroom not quite what I expect from Business class 34 inches is hardly room to stretch out. The service was good but the choice of food was limited and again not what I expect from a business class experience. As for inflight entertainment? Oh dear. On a 4.5 hour flight I expect so much better old fashioned one film option only. If you didn't like the film tough. All in all I will not rush to pay the extra.,Passive
Our first and last time using Southwest. We flew from New York (LGA) to Chicago (MDW) over the Labor Day weekend. Outbound trip was ok but the return was chaotic. Our return flight was scheduled for an 8pm departure but was delayed to 11pm due to some weather issues which we can understand. However they kept changing the departure status from 11pm to 10.30pm to 9.10pm and then to 9.45pm. When they changed it to 9.10pm this was when we had to scramble to the airport. We managed to make it to Midway but we were scattered on the plane even when we had Boarding group A. Either way it is best to avoid Southwest Airlines at all costs.,Detractor
Seats are narrow and hard .If you are taller than 5ft 8 then your knees will be jammed into the row in front of you. Unreal and no entertainment TV nothing on a 5-6 hour flight. Class act have been flying AC for 29 years and never knew rouge was 3rd rate flight at best. Avoid at all costs.,Detractor
  Barcelona to Boston via London. Mixed review: we had to rebook suddenly for next-day business class because my wife broke a bone in her shoulder and had to go home urgently. BA cut us no slack for the injury and the change cost a fortune. The good: flight crews were wonderfully supportive and helpful,Passive
CPH-WAW-HAN. ATR 170 first leg and Boeing 767-300 on second. Tickets at very reasonable price. Fastest connection CPH-HAN. Precise arrivals and departures. Airline not up to 4 star but provides good value for the money. Inaugural flight celebrations in airport in Hanoi and onboard for the new route. Customers provided with champagne souveners flowers. Food good though not perfect. Seats not flat no personal TV screen on biz-class. TV sets are portable and must be set up by staff on the serving trays which then become unavailable for other uses eg. meals laptop etc.,Passive
BKK-USM-BKK. Flights left on time. Service very good. Lounges appreciated even for economy pax. Meal served on Samui flight not that good but this is according to individual taste. The return flight meal was the best I had on my trip even compared to the long haul flights I had - excellent! The airport at Samui is great and a new departure lounge is also very good. The service onboard was excellent and to be commended.,Promoter
"I've flown with Cathay Pacific PE (JFK to HK) many times during the 2012 and 2013 years - my experiences all horrible in short PE class is like an unwanted step child the flight attendants are simply annoyed because they are occupied in the main cabin. I've always had to dispose of my food tray because of abandonment and the extra seat pitch is just offsetted when the seat in front reclines - impossible to use laptop. Want to give thanks to the ""real"" PE reviews here I'm saved from the 16 hours of agony and cost.",Detractor
" Vancouver to Toronto. No food provided, not even a pretzel! Extra charges for every piece of luggage checked in. All 3 flight during my one week vacation were delayed (4 hours the first one) The planes don't have enough in-cabin space to accommodate traveler's belongings. I had to check in my carry-on in the end. Service was about the worst I have ever experienced. Service was interrupted at one occasion due to turbulence, I asked for a coffee but since they could not serve hot beverages during that moment the flight attendant gave me an empty cup so that I can claim my coffee when the seat belt sign went off. Waited an hour for them to come see me (that little light to call assistance is useless on that flight because they ignore you). Once she came back, took my cup and that was the end of it. Waited for 2 hours for a coffee I never got.",Detractor
MDC-CGK old Boeing 737-300 with the old cabin. Seats not as good as the new ones and no PTV installed only entrainment was the overhead TV above the isle. Good selection of food and drinks although I've had better ones with other Garuda flights. Friendly FA and good overall service.,Promoter
"  Frankfurt to Athens. I am very disappointed in the service of Aegean Airlines. On my flight to Athens from Frankfurt I had to pay an extra fee of 60 euros to check in my cabin bag exceeding the weight limit by 2kg. I was not the only one getting this treatment. Not that the bag would have been bigger in volume than the one allowed, only it wasn't the correct form but would have still fit the overhead compartment just fine. Also a couple of people who had bought tax free products at the airport and now had to check in their bags because the extra plastic/paper bag they were carrying also had to be in their cabin bag . The service onboard was standard and the flight arrived on time, all of which I couldn't enjoy after the experience I had at the gate.",Detractor
 London to Athens. We were fortunate to get exit row seats in advance. They were spacious with plenty of legroom. They had more width than the cramped Boeing 747-400 that we had just flown in on. We each had a carry on,Detractor
"  Jersey to Gatwick. Flight left on time and the plane was clean and modern. The crew were friendly. The flight was only 40 minutes and the crew worked hard to try and serve everyone who wanted to buy food or drinks but I'm not sure they made it to the final rows. I think the problem is that there are only 2 staff to service the economy cabin whereas on our EasyJet flight out there had been 4 staff (as there is no business class). I still don't think the buy on board is working that well, but that is not the crew's fault. We were pleased to arrive 20 minutes early although it was a shame to have to get a bus to the terminal. The BA offering is now on a par with low cost carriers and as we got a competitive price for this flight we were fairly happy.",Passive
" Tampa to Chicago. My flight home was cancelled due to mechanical issue with engines. It happens. No problem. But, they absolutely cut bait on us once the flight was cancelled. They offered links for other flights that they'd reimburse for up to $500 total. But all the flights they linked to were sold out or were $1700. They gave us a number to call if we needed further assistance. I called, and was placed on hold 4 times for about 30-40 min each time over the span of 2.5 hours. They were uninterested in helping me find a way home after they cancelled my flight. They simply came out, handed everyone a piece of paper with two useless options and the phone number is sit on hold on and told us we were on our own. It's that unbelievably poor service that this poor review is for. Don't blame the employees. It's their management. Employees are just the ones in front of the firing squad.",Detractor
  Amsterdam to Lisbon return. Double the delay of the low cost carriers although double the price. Lousy food. Arrogant but slow and clumsy staff. Seat comfort is an absolute minimum. EasyJet flies this route but chose TAP for timely and quality experience. What a deception. I would not choose this airline again!,Detractor
Hidden fees all over terrible customer service rude staff in every department! Every bag you have is extra money checked bags carry on bags and they tell you none of this until after you have bought your ticket. It even costs money to print your boarding pass at the airport. Your carry on can weigh 50 lbs which costs you different amounts based on when and where you tell them you have a carry on. Then if you check a bag it costs you another 50 bucks if it weighs over 40lbs! I have flown plenty this is by far the worst experience I have had with an airline.,Detractor
" Amsterdam to Vancouver. This airline and customer care centre has been nothing but a whirlwind and they do not have a customer care centre. I have been writing and phoning and waiting since October 9th 2017 for my case to be sorted out and it is now January 9th 2018. When I landed from Amsterdam to Vancouver part of my bag was missing and I went straight away to KLM desk they told me I need make police report at airport soo I did then KLM said I need to call customer care but every time I call there is no way to get real person to talk to in customer care and I wrote emails after emails when someone finally calls me they say u need feel out this and that form but I already did, it's like they just put me though to someone else. I finally got someone to handle the case and they said the case is closed and we will send you a cheque for your lost items. That was at beginning of November and it's now January and when I call or write they say the cheque it's in mail. But it's in the mail from November 10th to January 9th to me this don't make sense and the customer service from KLM Delta has been the worst in my life. I will not recommend this to anyone.",Detractor
"  This was my first flight from Toronto to London crewed by ""Mixed Fleet"". Easy check-in at Toronto Pearson (The BA ground staff are always great in Toronto) with fast track meant I was in the lounge 20 mins after arriving at the airport. The lounge remains well run with ok food and a limited (average) wine list. Still too few bathrooms, the seats are tatty, and when busy is not a relaxing place to be. Easy boarding and the first of a few improvements - prosecco now served to London. (used to be only ex London). Fast drinks service after take off with pretzels now back on offer. An OK Chicken curry was served but I still don't see it as Biz class food. A choice of whites and reds wine was offered which reinstates the previous one of each. That is where the improvements ended. The morning offering of a cereal bar and T&Cs / juice remains an insult and just shows how little BA care about the entire journey customer experience. The crew on this flight were great. Young, junior and inexperienced for sure but the two women working my side were friendly and professional. A request for a top up of prosecco was missed due to a short taxi, but appeared (in glass) without asking as soon as the crew were released - classy and well remembered! The return flight was less good. Drinks served promptly after take off and my pre-booked meal arrived first but on the wrong tray. (Crew member's first flight since qualifying) It took some convincing that the plastic cutlery etc was not a WTP tray. The underwhelming snack replacing the second meal was one fun size piece of chocolate and T&C. Customers taking a second chocolate were made to put it back (really) as apparently they are counted out to the exact number of passengers. This cut to service on both legs continues to leave me troubled as after 5 hours I need something more substantial than chocolate. Service reduced - yes, price reduced - no! The 777's in both directions were clean though unless you sit in the first row of WTP, the IFE screens are tiny. Mixed fleet were generally more friendly and interested in making an effort. However, the male crew were more aloof, lacked attention to detail and officious. What these (newer) crews miss, was the more informal / laid back service of Long Haul crew - I hope they relax into the role soon! At least the cuts have stopped (not much left to cut I admit) and small things like choice of wine and pretzels show BA have listened. However, the second meal in both directions being cut on east coast US / Canada routes remains a sore on what was otherwise an ok journey. The jury remains out on whether I continue my loyalty to BA and One World - it really depends on what BA do next - to either value me as a customer (and offer a quality service) or sink even lower in standards from what was once a great airline (at which point - I'm off).",Passive
 China Southern has two flights a day from London to Guangzhou and both use Boeing 787 that are new. I have flown this route a lot but this review is specifically to compliment the airline about the excellent service on 15 November on CZ304 (the night flight from London). China Southern in general does a great job with in-flight service and the quality of seating in business/first,Promoter
"Although I am generally very happy with Lufthansa standard, this flight from Buenos Aires to Frankfurt was not one of their best ones. The seats were comfortable and rather spacious, there was a choice of two menus for dinner and no choice for breakfast. IFE was OK, although if you fly two long haul flights a month you will start to feel the limited choice in the movie selection. The cabin crew was generally good, although one was unsuitable for his job: it is the first time that a steward pushes me on my shoulder while I am eating and tells me ""do you want something to drink?"" Overall, the airpline was quiet and a comfortable flight.",Detractor
"  Boston to Hong Kong. With a flying time of 15.45 hours this is one of the longest routes in Cathay Pacific's network and I was bracing for the worst as I was going to travel in economy class. However it turned out to be a very pleasant experience thanks to the hardworking and friendly crew. Dinner was served shortly after take-off and a couple hours later there was a snack-service with cup noodles. The western style breakfast served two hours prior arrival was tasty and plentiful. What impressed me the most on this flight was how well-groomed the crew appeared, even after having been on duty for more than 14 hours. I stepped off the plane feeling refreshed and ready for a full day of duties ahead. This was Cathay Pacific at its best.",Promoter
A very early flight from SFO to YVR during the holiday crush was made pleasant by an extremely pleasant and helpful team of flight attendants. I travel a lot and this is the first time I have ever felt compelled to praise cabin service. Thanks for making what I expected to be a miserable experience into a very pleasant one.,Promoter
Flew from Brussels to Kigali on 13 July and found the service to be very good. Food was tasty good selection of movies plane was very clean and seats comfortable. Only downside was the Brussels Airlines ground staff at Brussels Airport who are not very helpful.,Promoter
"  First flight from Athens to Thessaloniki full due to air controllers' strike in Greece, however boarding was on time, lots of hand luggage were given to the hold before boarding the aircraft and everything happened according to schedule. Crew were particularly cheerful on this flight and there was a good vibe. On the return flight I was seated in the back, changed seat without asking, as there were a few rows empty. Quick disembarkation, crew tried to make sales a lot but I don't think they sold anything. As this was a very early flight most passengers were sleeping. This is a very short flight and everything went according to schedule.",Promoter
